,comunidad,número de casos a 14 días,población,incidencia acumulada a 14 días,incidencia acumulada a 7 días,número de casos a 7 días,número de casos totales,número de defunciones totales
0,Andalucía,7779.0,8464411.0,91.9024371571749,37.28552406068184,3156.0,480332.0,8613.0
1,Aragón,1561.0,1329391.0,117.42218805453022,35.429756933814055,471.0,106679.0,3295.0
2,Canarias,1815.0,2175952.0,83.41176643602432,31.664301418413643,689.0,41050.0,609.0
3,Cantabria,395.0,582905.0,67.76404388365171,18.870999562535918,110.0,25005.0,526.0
4,Castilla y León,2156.0,2394918.0,90.02395906665697,30.648230962396205,734.0,201197.0,6425.0
5,Castilla-La Mancha,1208.0,2045221.0,59.06452163360341,15.597336424767787,319.0,170689.0,5661.0
6,Cataluña,9070.0,7780479.0,116.57379963367293,28.00598780614921,2179.0,504232.0,10502.0
7,Ceuta,211.0,84202.0,250.58787202204223,61.75625282059809,52.0,4771.0,86.0
8,Comunidad Foral de Navarra,642.0,661197.0,97.09662929505124,37.961454755541844,251.0,51860.0,1105.0
9,Comunidad Valenciana,2112.0,5057353.0,41.76097654247192,12.002326118030519,607.0,380110.0,6848.0
10,Comunidad de Madrid,10667.0,6779888.0,157.33298249174618,51.18078646726907,3470.0,597741.0,14245.0
11,Euskadi,3015.0,2220504.0,135.7799850844673,46.07062180477946,1023.0,153952.0,3796.0
12,Extremadura,367.0,1063987.0,34.49290263884803,13.25204161329039,141.0,68524.0,1720.0
13,Galicia,1760.0,2701819.0,65.14129925061597,19.87549869180726,537.0,113166.0,2252.0
14,Islas Baleares,417.0,1171543.0,35.5940840413028,11.437907102001377,134.0,56478.0,732.0
15,La Rioja,178.0,319914.0,55.63995323743256,15.629200347593416,50.0,27610.0,730.0
16,Melilla,260.0,87076.0,298.58973770039967,119.43589508015987,104.0,7185.0,74.0
17,Principado de Asturias,1234.0,1018784.0,121.12479190878537,28.367151427584254,289.0,44561.0,1797.0
18,Región de Murcia,840.0,1511251.0,55.58308977132191,19.05705935016751,288.0,107139.0,1531.0
