,ccaa_iso,fecha,num_casos,num_casos_prueba_pcr,num_casos_prueba_test_ac,num_casos_prueba_ag,num_casos_prueba_elisa,num_casos_prueba_desconocida
0,Andalucía,2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0
1,Aragón,2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2,Principado de Asturias,2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0
3,Cantabria,2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0
4,Ceuta,2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0
5,Castilla y León,2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0
6,Castilla-La Mancha,2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0
7,Canarias,2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0
8,Cataluña,2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0
9,Extremadura,2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0
10,Galicia,2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0
11,Islas Baleares,2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0
12,Región de Murcia,2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0
13,Comunidad de Madrid,2020-01-01,1.0,1.0,0.0,0.0,0.0,0.0
14,Melilla,2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0
15,Comunidad Foral de Navarra,2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0
16,Euskadi,2020-01-01,1.0,0.0,0.0,1.0,0.0,0.0
17,La Rioja,2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0
18,Comunidad Valenciana,2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0
19,Andalucía,2020-01-02,0.0,0.0,0.0,0.0,0.0,0.0
20,Aragón,2020-01-02,0.0,0.0,0.0,0.0,0.0,0.0
21,Principado de Asturias,2020-01-02,0.0,0.0,0.0,0.0,0.0,0.0
22,Cantabria,2020-01-02,0.0,0.0,0.0,0.0,0.0,0.0
23,Ceuta,2020-01-02,0.0,0.0,0.0,0.0,0.0,0.0
24,Castilla y León,2020-01-02,0.0,0.0,0.0,0.0,0.0,0.0
25,Castilla-La Mancha,2020-01-02,0.0,0.0,0.0,0.0,0.0,0.0
26,Canarias,2020-01-02,0.0,0.0,0.0,0.0,0.0,0.0
27,Cataluña,2020-01-02,0.0,0.0,0.0,0.0,0.0,0.0
28,Extremadura,2020-01-02,0.0,0.0,0.0,0.0,0.0,0.0
29,Galicia,2020-01-02,0.0,0.0,0.0,0.0,0.0,0.0
30,Islas Baleares,2020-01-02,0.0,0.0,0.0,0.0,0.0,0.0
31,Región de Murcia,2020-01-02,0.0,0.0,0.0,0.0,0.0,0.0
32,Comunidad de Madrid,2020-01-02,0.0,0.0,0.0,0.0,0.0,0.0
33,Melilla,2020-01-02,0.0,0.0,0.0,0.0,0.0,0.0
34,Comunidad Foral de Navarra,2020-01-02,0.0,0.0,0.0,0.0,0.0,0.0
35,Euskadi,2020-01-02,1.0,0.0,0.0,1.0,0.0,0.0
36,La Rioja,2020-01-02,0.0,0.0,0.0,0.0,0.0,0.0
37,Comunidad Valenciana,2020-01-02,0.0,0.0,0.0,0.0,0.0,0.0
38,Andalucía,2020-01-03,0.0,0.0,0.0,0.0,0.0,0.0
39,Aragón,2020-01-03,0.0,0.0,0.0,0.0,0.0,0.0
40,Principado de Asturias,2020-01-03,0.0,0.0,0.0,0.0,0.0,0.0
41,Cantabria,2020-01-03,0.0,0.0,0.0,0.0,0.0,0.0
42,Ceuta,2020-01-03,0.0,0.0,0.0,0.0,0.0,0.0
43,Castilla y León,2020-01-03,0.0,0.0,0.0,0.0,0.0,0.0
44,Castilla-La Mancha,2020-01-03,0.0,0.0,0.0,0.0,0.0,0.0
45,Canarias,2020-01-03,0.0,0.0,0.0,0.0,0.0,0.0
46,Cataluña,2020-01-03,1.0,1.0,0.0,0.0,0.0,0.0
47,Extremadura,2020-01-03,0.0,0.0,0.0,0.0,0.0,0.0
48,Galicia,2020-01-03,0.0,0.0,0.0,0.0,0.0,0.0
49,Islas Baleares,2020-01-03,0.0,0.0,0.0,0.0,0.0,0.0
50,Región de Murcia,2020-01-03,0.0,0.0,0.0,0.0,0.0,0.0
51,Comunidad de Madrid,2020-01-03,1.0,1.0,0.0,0.0,0.0,0.0
52,Melilla,2020-01-03,0.0,0.0,0.0,0.0,0.0,0.0
53,Comunidad Foral de Navarra,2020-01-03,0.0,0.0,0.0,0.0,0.0,0.0
54,Euskadi,2020-01-03,1.0,0.0,0.0,1.0,0.0,0.0
55,La Rioja,2020-01-03,0.0,0.0,0.0,0.0,0.0,0.0
56,Comunidad Valenciana,2020-01-03,0.0,0.0,0.0,0.0,0.0,0.0
57,Andalucía,2020-01-04,0.0,0.0,0.0,0.0,0.0,0.0
58,Aragón,2020-01-04,0.0,0.0,0.0,0.0,0.0,0.0
59,Principado de Asturias,2020-01-04,0.0,0.0,0.0,0.0,0.0,0.0
60,Cantabria,2020-01-04,0.0,0.0,0.0,0.0,0.0,0.0
61,Ceuta,2020-01-04,0.0,0.0,0.0,0.0,0.0,0.0
62,Castilla y León,2020-01-04,0.0,0.0,0.0,0.0,0.0,0.0
63,Castilla-La Mancha,2020-01-04,0.0,0.0,0.0,0.0,0.0,0.0
64,Canarias,2020-01-04,0.0,0.0,0.0,0.0,0.0,0.0
